C1-1:1
C1-10:1
C1-11:1
C1-12:1
C1-2:1
C1-3:1
C1-4:1
C1-5:1
C1-6:1
C1-7:1
C1-8:1
C1-9:1
C2-1:1
C2-10:1
C2-11:1
C2-12:1
C2-2:1
C2-3:1
C2-4:1
C2-5:1
C2-6:1
C2-7:1
C2-8:1
C2-9:1
C3-1:1
C3-10:1
C3-11:1
C3-12:1
C3-2:1
C3-3:1
C3-4:1
C3-5:1
C3-6:1
C3-7:1
C3-8:1
C3-9:1
C4-1:1
C4-10:1
C4-11:1
C4-12:1
C4-2:1
C4-3:1
C4-4:1
C4-5:1
C4-6:1
C4-7:1
C4-8:1
C4-9:1
C5-1:1
C5-2:1
J1:1
J2:1
J3:1
J4:1
J5:1
REF**:4
