Designator,Mid X,Mid Y,Rotation,Layer
J1,232.403346,-63.0,180.0,top
J2,232.403346,-55.0,0.0,top
J3,193.872724,-63.0,180.0,top
J4,193.872724,-55.0,0.0,top
J5,213.100832,-77.275,180.0,top
